"","Date mutation","Nature mutation","Valeur fonciere","No voie","B/T/Q","Type de voie","Code voie","Voie","Code postal","Commune","Prefixe de section","Section","No plan","Code type local","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"6760","29/06/2020","Vente",3.9e+07,5064,NA,NA,"B034","LES MARCEAUX",38650,"AVIGNONET",NA,"A",425,1,"Maison",125,4,"S",NA,1500
"6761","29/06/2020","Vente",15200000,28,NA,"RUE","0570","JEAN PAIN",38600,"FONTAINE",NA,"AD",781,2,"Appartement",66,3,NA,NA,NA
"6762","26/06/2020","Vente",28200000,6,NA,"ALL","0420","DE LA FORET",38360,"SASSENAGE",NA,"BI",119,2,"Appartement",82,4,NA,NA,NA
"6763","16/06/2020","Vente",1.6e+07,60,NA,"CHEM","0039","DES ECOLIERS",38114,"ALLEMOND",NA,"AC",303,1,"Maison",123,5,"S",NA,802
"6764","16/06/2020","Vente",1.6e+07,60,NA,"CHEM","0039","DES ECOLIERS",38114,"ALLEMOND",NA,"AC",303,1,"Maison",123,5,"T",NA,961
"6765","11/06/2020","Vente",18334000,5,NA,"ALL","1495","DES ORCHIDEES",38640,"CLAIX",NA,"AM",61,2,"Appartement",66,3,NA,NA,NA
"6766","09/07/2020","Vente",1.4e+07,1,NA,"RUE","0026","DES BUISSIERES",38360,"SASSENAGE",NA,"BB",101,2,"Appartement",91,5,NA,NA,NA
"6767","16/06/2020","Vente",1500000,308,NA,"CHE","0080","DE LA CHAPELLE",38750,"HUEZ",NA,"AC",235,4,"Local industriel. commercial ou assimil<e9>",225,0,"S",NA,367
"6768","16/06/2020","Vente",1500000,308,NA,"CHE","0080","DE LA CHAPELLE",38750,"HUEZ",NA,"AC",235,4,"Local industriel. commercial ou assimil<e9>",787,0,"S",NA,367
"6769","15/06/2020","Vente",2.8e+07,12,NA,"RUE","0490","HENRI BARBUSSE",38600,"FONTAINE",NA,"AH",208,2,"Appartement",82,3,NA,NA,NA
"6770","01/07/2020","Vente",21370000,66,NA,"AV","0660","DU VERCORS",38170,"SEYSSINET-PARISET",NA,"B",141,2,"Appartement",83,4,NA,NA,NA
"6771","26/06/2020","Vente",7500000,53,NA,"BD","0600","JOLIOT CURIE",38600,"FONTAINE",NA,"AK",144,2,"Appartement",38,2,NA,NA,NA
"6772","06/07/2020","Vente",1.2e+07,5073,NA,NA,"B075","LES SOUCHIERES",38970,"LES COTES-DE-CORPS",NA,"B",476,1,"Maison",52,3,"S",NA,660
"6773","22/06/2020","Vente",7700000,5190,NA,"RES","A055","LES GENTIANES",38142,"AURIS",NA,"AC",29,2,"Appartement",29,1,NA,NA,NA
"6774","29/06/2020","Vente",31500000,10,"E","RUE","0960","DE LA REPUBLIQUE",38600,"FONTAINE",NA,"AS",474,1,"Maison",83,4,"S",NA,254
"6775","26/06/2020","Vente",10100000,11,"B","AV","0060","AMBROISE CROIZAT",38600,"FONTAINE",NA,"AN",206,2,"Appartement",47,2,NA,NA,NA
"6776","10/06/2020","Vente",7711000,5453,NA,NA,"B036","CLOS DES FONDS",38860,"LES DEUX ALPES",NA,"AK",384,2,"Appartement",20,1,NA,NA,NA
"6777","06/07/2020","Vente",13632200,20,NA,"RTE","0400","ST PIERRE DE FEYTENY",38119,"PIERRE-CHATEL",NA,"AB",38,1,"Maison",87,4,"S",NA,158
"6778","02/07/2020","Vente",30218800,1154,NA,"RTE","0960","DU TABOR",38350,"SAINT-HONORE",NA,"D",858,1,"Maison",204,7,"S",NA,893
"6779","02/07/2020","Vente",30218800,1154,NA,"RTE","0960","DU TABOR",38350,"SAINT-HONORE",NA,"D",858,1,"Maison",204,7,"P",NA,754
"6780","03/07/2020","Vente",8650000,49,NA,"RUE","0050","DES ALPES",38600,"FONTAINE",NA,"AP",26,2,"Appartement",75,3,NA,NA,NA
"6781","01/07/2020","Vente",4200000,60,NA,"MTE","0190","DU TIL",38740,"VALJOUFFREY",NA,"A",1816,1,"Maison",40,2,"S",NA,95
"6782","01/07/2020","Vente",52700000,4,NA,"RUE","0533","PAUL VALERIEN PERRIN",38170,"SEYSSINET-PARISET",NA,"AI",272,4,"Local industriel. commercial ou assimil<e9>",299,0,NA,NA,NA
"6783","19/06/2020","Vente",21200,5491,NA,NA,"B010","BARRIERE",38220,"LIVET-ET-GAVET",NA,"F",1725,1,"Maison",50,2,"S",NA,21
"6784","12/06/2020","Vente",9030000,5492,NA,"RES","A035","ARC EN CIEL",38860,"LES DEUX ALPES",NA,"AI",379,2,"Appartement",23,2,NA,NA,NA
"6785","08/07/2020","Vente",11500000,5015,NA,NA,"B106","LE VILLAGE",38930,"LE MONESTIER-DU-PERCY",NA,"B",414,1,"Maison",139,6,"S",NA,230
"6786","01/07/2020","Vente",11700000,43,NA,"AV","0660","DU VERCORS",38170,"SEYSSINET-PARISET",NA,"AE",243,2,"Appartement",64,4,NA,NA,NA
"6787","26/06/2020","Vente",46575000,265,NA,"RUE","0083","DU MEINGET",38760,"SAINT-PAUL-DE-VARCES",NA,"AX",163,1,"Maison",124,5,"S",NA,1235
"6788","19/06/2020","Vente",13500000,236,NA,"RTE","0005","DE L ALTIPORT",38750,"HUEZ",NA,"A",1650,2,"Appartement",24,2,NA,NA,NA
"6789","30/06/2020","Vente",1.5e+07,59,NA,"AV","0660","DU VERCORS",38170,"SEYSSINET-PARISET",NA,"AE",243,2,"Appartement",64,4,NA,NA,NA
"6790","30/06/2020","Vente",1.5e+07,59,NA,"AV","0660","DU VERCORS",38170,"SEYSSINET-PARISET",NA,"AE",243,2,"Appartement",64,4,NA,NA,NA
"6791","29/06/2020","Vente",43593000,58,NA,"CHE","0050","DE BOUILLY",38250,"LANS-EN-VERCORS",NA,"E",1585,1,"Maison",148,5,"S",NA,417
"6792","08/07/2020","Vente",1.5e+07,15,NA,"RUE","0970","ROBERT FINET",38600,"FONTAINE",NA,"AS",394,2,"Appartement",64,3,NA,NA,NA
"6793","24/06/2020","Vente",11100000,5117,NA,"RUE","0180","DE L HOPITAL",38930,"CLELLES",NA,"AB",184,1,"Maison",88,4,"S",NA,142
"6794","12/06/2020","Vente",12600000,1141,NA,"RTE","0195","DU GRAND VEYMONT",38650,"GRESSE-EN-VERCORS",NA,"AC",79,1,"Maison",48,3,"S",NA,138
"6795","19/06/2020","Vente",15713800,NA,NA,"RES","A005","L OURS BLANC",38750,"HUEZ",NA,"AC",522,2,"Appartement",37,2,NA,NA,NA
"6796","03/07/2020","Vente",1.2e+07,12,NA,"IMP","0023","DU PRAPELIER",38860,"LES DEUX ALPES",NA,"AI",204,2,"Appartement",31,1,NA,NA,NA
"6797","30/06/2020","Vente",21980000,1,NA,"LOT","A015","LA CONDAMINE",38520,"LE BOURG-D'OISANS",NA,"AR",15,1,"Maison",87,4,NA,NA,NA
"6798","30/06/2020","Vente",5400000,5821,NA,NA,"B373","VILLARD LE HAUT",38250,"VILLARD-DE-LANS",NA,"AZ",101,2,"Appartement",19,1,NA,NA,NA
