"","Date mutation","Nature mutation","Valeur fonciere","No voie","B/T/Q","Type de voie","Code voie","Voie","Code postal","Commune","Prefixe de section","Section","No plan","Code type local","Type local","Surface reelle bati","Nombre pieces principales","Nature culture","Nature culture speciale","Surface terrain"
"1","06/01/2020","Vente",12450000,18,NA,"AV","6550","TEISSEIRE",38100,"GRENOBLE",NA,"DZ",68,2,"Appartement",66,3,NA,NA,NA
"2","03/01/2020","Vente",17500000,11,NA,"RUE","0975","VICTOR HUGO",38320,"EYBENS",NA,"AM",17,2,"Appartement",89,5,NA,NA,NA
"3","03/01/2020","Vente",33200000,4,NA,"PL","1010","BIR HAKEIM",38000,"GRENOBLE",NA,"BY",31,2,"Appartement",95,3,NA,NA,NA
"4","03/01/2020","Vente",9800000,5,NA,"SQ","0835","LE PERIER",38400,"SAINT-MARTIN-D'HERES",NA,"AE",321,2,"Appartement",57,3,NA,NA,NA
"5","09/01/2020","Vente",24100000,1,NA,"RUE","3130","GAL MARCHAND",38000,"GRENOBLE",NA,"BZ",57,2,"Appartement",59,3,NA,NA,NA
"6","06/01/2020","Vente",7e+06,124,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"EO",84,2,"Appartement",55,3,NA,NA,NA
"7","06/01/2020","Vente",17295000,10,NA,"RUE","2480","ELISEE CHATIN",38100,"GRENOBLE",NA,"DM",10,2,"Appartement",73,3,NA,NA,NA
"8","07/01/2020","Vente",8075000,22,NA,"CHE","3940","JESUS",38000,"GRENOBLE",NA,"CI",158,2,"Appartement",19,0,NA,NA,NA
"9","09/01/2020","Vente",54740000,5781,NA,NA,"B055","PRATEL",38330,"SAINT-ISMIER",NA,"AI",251,1,"Maison",189,6,"S",NA,773
"10","07/01/2020","Vente",6600000,44,NA,"RUE","0640","DE MALFANGEAT",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",61,4,NA,NA,NA
"11","09/01/2020","Vente",6300000,54,NA,"RUE","0640","DE MALFANGEAT",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",51,3,NA,NA,NA
"12","06/01/2020","Vente",20400000,2,NA,"RUE","0082","SIMONE DE BEAUVOIR",38400,"SAINT-MARTIN-D'HERES",NA,"BH",333,2,"Appartement",81,4,NA,NA,NA
"13","08/01/2020","Vente",14952000,15,NA,"RUE","0420","AMPERE",38000,"GRENOBLE",NA,"IO",14,2,"Appartement",67,4,NA,NA,NA
"14","03/01/2020","Vente",6840000,8,NA,"RUE","0725","MODIGLIANI",38400,"SAINT-MARTIN-D'HERES",NA,"AX",171,2,"Appartement",51,3,NA,NA,NA
"15","06/01/2020","Vente",33500000,464,NA,"RTE","0650","DE MOLLARD GIROUD",38700,"LE SAPPEY-EN-CHARTREUSE",NA,"AD",380,2,"Appartement",35,1,"S",NA,585
"16","06/01/2020","Vente",33500000,464,NA,"RTE","0650","DE MOLLARD GIROUD",38700,"LE SAPPEY-EN-CHARTREUSE",NA,"AD",380,2,"Appartement",115,4,"S",NA,585
"17","06/01/2020","Vente",9e+06,8,NA,"RUE","1020","VICTOR HUGO",38400,"SAINT-MARTIN-D'HERES",NA,"AY",525,1,"Maison",102,5,NA,NA,NA
"18","10/01/2020","Vente",8e+06,23,NA,"AV","3880","JEAN PERROT",38100,"GRENOBLE",NA,"DE",56,2,"Appartement",48,3,NA,NA,NA
"19","03/01/2020","Vente",23691500,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",10,0,NA,NA,NA
"20","03/01/2020","Vente",23691500,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",48,0,NA,NA,NA
"21","08/01/2020","Vente",17900000,28,NA,"RUE","0420","AMPERE",38000,"GRENOBLE",NA,"IW",5,2,"Appartement",72,3,NA,NA,NA
"22","10/01/2020","Vente",27650000,8,NA,"RUE","0352","BARUCH SPINOZA",38320,"EYBENS",NA,"AW",204,2,"Appartement",79,4,NA,NA,NA
"23","03/01/2020","Vente",15100000,2,NA,"RUE","0205","COMMANDANT KOMAROV",38400,"SAINT-MARTIN-D'HERES",NA,"AV",55,2,"Appartement",83,5,NA,NA,NA
"24","09/01/2020","Vente",21500000,23,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",178,4,"Local industriel. commercial ou assimil<e9>",75,0,"S",NA,113
"25","09/01/2020","Vente",21500000,23,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",178,1,"Maison",147,6,"S",NA,113
"26","10/01/2020","Vente",45187000,17,NA,"ALL","0200","DES CERISIERS",38240,"MEYLAN",NA,"AL",136,1,"Maison",80,4,"S",NA,358
"27","08/01/2020","Vente",7500000,30,NA,"RUE","2150","DU DOCTEUR CALMETTE",38000,"GRENOBLE",NA,"IV",224,4,"Local industriel. commercial ou assimil<e9>",35,0,NA,NA,NA
"28","09/01/2020","Vente",7100000,3,NA,"IMP","0655","AUGUSTE DAVIN",38100,"GRENOBLE",NA,"DT",76,2,"Appartement",33,2,NA,NA,NA
"29","10/01/2020","Vente",9200000,57,NA,"RUE","3430","GUYNEMER",38100,"GRENOBLE",NA,"HS",3,2,"Appartement",63,4,NA,NA,NA
"30","17/01/2020","Vente",1e+07,32,NA,"RUE","0837","PIERRE BROSSOLETTE",38400,"SAINT-MARTIN-D'HERES",NA,"AE",328,2,"Appartement",54,2,NA,NA,NA
"31","10/01/2020","Vente",2.1e+07,53,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",186,2,"Appartement",44,2,NA,NA,NA
"32","10/01/2020","Vente",2.1e+07,2,NA,"RUE","3410","GUY DE MAUPASSANT",38100,"GRENOBLE",NA,"EY",24,2,"Appartement",34,1,NA,NA,NA
"33","07/01/2020","Vente",7600000,2,NA,"RUE","3230","GERIN",38000,"GRENOBLE",NA,"IK",35,2,"Appartement",33,1,NA,NA,NA
"34","13/01/2020","Vente",28316000,11,NA,"GR","0460","GRANDE RUE",38610,"GIERES",NA,"AN",670,2,"Appartement",89,4,NA,NA,NA
"35","06/01/2020","Vente",15330000,3,NA,"AV","6740","DE VALMY",38100,"GRENOBLE",NA,"CX",123,2,"Appartement",62,3,NA,NA,NA
"36","07/01/2020","Vente",7800000,46,NA,"BD","4800","MAL FOCH",38000,"GRENOBLE",NA,"DI",68,2,"Appartement",41,1,NA,NA,NA
"37","06/01/2020","Vente",7800000,1,NA,"RUE","0291","FRANZ LISZT",38400,"SAINT-MARTIN-D'HERES",NA,"BE",293,2,"Appartement",61,4,NA,NA,NA
"38","10/01/2020","Vente",40500000,707,NA,"CHE","0450","DE TARTAIX",38330,"MONTBONNOT-SAINT-MARTIN",NA,"AE",420,1,"Maison",128,5,"S",NA,762
"39","07/01/2020","Vente",1.4e+07,16,NA,"AV","6035","RHIN ET DANUBE",38100,"GRENOBLE",NA,"HT",1,2,"Appartement",80,4,NA,NA,NA
"40","10/01/2020","Vente",44750000,7,NA,"ALL","0367","DES FRENES",38240,"MEYLAN",NA,"AV",157,2,"Appartement",108,5,NA,NA,NA
"41","13/01/2020","Vente",26250000,7,NA,"AV","0780","DU VERCORS",38240,"MEYLAN",NA,"AR",86,2,"Appartement",97,5,NA,NA,NA
"42","10/01/2020","Vente",12500000,2,"B","RUE","0285","DU MAQUIS DE L OISA",38610,"GIERES",NA,"AL",115,2,"Appartement",49,3,NA,NA,NA
"43","16/01/2020","Vente",14410000,95,NA,"CRS","0950","BERRIAT",38000,"GRENOBLE",NA,"IK",13,2,"Appartement",58,3,NA,NA,NA
"44","07/01/2020","Vente",12350000,35,NA,"AV","6910","DE VIZILLE",38000,"GRENOBLE",NA,"IK",148,2,"Appartement",48,2,NA,NA,NA
"45","17/01/2020","Vente",26500000,8,NA,"ALL","0252","DE PAMPRE",38330,"SAINT-ISMIER",NA,"AV",69,2,"Appartement",65,3,NA,NA,NA
"46","02/01/2020","Vente",14950000,48,NA,"BD","4800","MAL FOCH",38000,"GRENOBLE",NA,"DI",69,2,"Appartement",77,4,NA,NA,NA
"47","15/01/2020","Vente",9600000,1,NA,"CHE","2600","DES ESSARTS",38100,"GRENOBLE",NA,"EZ",112,2,"Appartement",51,2,NA,NA,NA
"48","14/01/2020","Vente",18150000,14,NA,"RUE","0611","DES JAVAUX",38320,"EYBENS",NA,"AL",341,1,"Maison",68,4,"S",NA,239
"49","07/01/2020","Vente",19640000,77,"B","CRS","3820","JEAN JAURES",38000,"GRENOBLE",NA,"CN",69,2,"Appartement",68,3,NA,NA,NA
"50","15/01/2020","Vente",72170000,138,"B","CHEM","0093","DE LA FRENAIE",38610,"VENON",NA,"AA",225,1,"Maison",146,5,"S",NA,839
"51","17/01/2020","Vente",9880000,46,NA,"RUE","3090","GAL FERRIE",38100,"GRENOBLE",NA,"DM",65,2,"Appartement",57,3,NA,NA,NA
"52","07/01/2020","Vente",27760000,75,NA,"RUE","1020","BIZANET",38000,"GRENOBLE",NA,"AZ",2,2,"Appartement",74,3,NA,NA,NA
"53","17/01/2020","Vente",22337000,28,"C","AV","0880","DE LA REPUBLIQUE",38320,"EYBENS",NA,"AS",48,2,"Appartement",67,3,NA,NA,NA
"54","09/01/2020","Vente",14915000,54,NA,"CRS","0950","BERRIAT",38000,"GRENOBLE",NA,"BM",127,2,"Appartement",77,3,NA,NA,NA
"55","09/01/2020","Vente",12500000,3,NA,"RUE","0291","FRANZ LISZT",38400,"SAINT-MARTIN-D'HERES",NA,"BE",293,2,"Appartement",61,4,NA,NA,NA
"56","17/01/2020","Vente",1.2e+07,6,NA,"RUE","5210","MOZART",38000,"GRENOBLE",NA,"IP",47,2,"Appartement",67,4,NA,NA,NA
"57","17/01/2020","Vente",21500000,3,NA,"RUE","0235","DU 19 MARS 1962",38400,"SAINT-MARTIN-D'HERES",NA,"AM",179,2,"Appartement",105,5,NA,NA,NA
"58","08/01/2020","Vente",13500000,21,NA,"RUE","6450","STATION PONSARD",38100,"GRENOBLE",NA,"DS",11,2,"Appartement",81,5,NA,NA,NA
"59","08/01/2020","Vente",40500000,25,NA,"RUE","0200","DE LA LIBERATION",38610,"GIERES",NA,"AL",23,1,"Maison",120,6,"S",NA,444
"60","09/01/2020","Vente",3.7e+07,63,NA,"CHEM","0014","DE CONVALIERE",38320,"HERBEYS",NA,"AY",94,1,"Maison",50,2,NA,NA,NA
"61","09/01/2020","Vente",3.7e+07,63,NA,"CHEM","0014","DE CONVALIERE",38320,"HERBEYS",NA,"AY",94,1,"Maison",107,5,NA,NA,NA
"62","10/01/2020","Vente",6600000,37,NA,"AV","6910","DE VIZILLE",38000,"GRENOBLE",NA,"IK",148,2,"Appartement",18,1,NA,NA,NA
"63","10/01/2020","Vente",19200000,10,NA,"RUE","4528","LOUISE DREVET",38000,"GRENOBLE",NA,"IR",4,2,"Appartement",75,4,NA,NA,NA
"64","06/01/2020","Vente",12140000,44,NA,"AV","0273","DU 8 MAI 1945",38130,"ECHIROLLES",NA,"AL",513,2,"Appartement",50,2,NA,NA,NA
"65","08/01/2020","Vente",16700000,891,NA,"AV","3942","DES JEUX OLYMPIQUES",38100,"GRENOBLE",NA,"EH",86,2,"Appartement",89,4,NA,NA,NA
"66","06/01/2020","Vente",9975000,42,NA,"CRS","3820","JEAN JAURES",38000,"GRENOBLE",NA,"BM",96,2,"Appartement",31,2,NA,NA,NA
"67","07/01/2020","Vente",10700000,18,NA,"CRS","4380","LIBERATION - GEN DE GAULLE",38100,"GRENOBLE",NA,"HV",18,2,"Appartement",61,3,NA,NA,NA
"68","06/01/2020","Vente",7e+06,2,NA,"RUE","0372","GUILLAUME APOLLINAIRE",38400,"SAINT-MARTIN-D'HERES",NA,"AB",217,2,"Appartement",18,1,NA,NA,NA
"69","08/01/2020","Vente",12093000,9,NA,"RUE","0044","ANNE FRANK",38400,"SAINT-MARTIN-D'HERES",NA,"BH",292,2,"Appartement",47,2,NA,NA,NA
"70","16/01/2020","Vente",24700000,1,NA,"SQ","1460","CHARLES MICHELS",38000,"GRENOBLE",NA,"DK",48,2,"Appartement",83,4,NA,NA,NA
"71","16/01/2020","Vente",10505000,6,NA,"AV","0850","BEAUVERT",38100,"GRENOBLE",NA,"HN",106,2,"Appartement",54,3,NA,NA,NA
"72","15/01/2020","Vente",1.6e+07,19,NA,"AV","0395","DE L OBIOU",38700,"LA TRONCHE",NA,"AK",138,2,"Appartement",68,4,NA,NA,NA
"73","06/01/2020","Vente",8110000,12,NA,"RUE","0240","ALEXANDRE DUMAS",38100,"GRENOBLE",NA,"HT",128,2,"Appartement",34,1,NA,NA,NA
"74","17/01/2020","Vente",44142500,215,NA,"CHEM","0069","DE PRESSEMBOIS",38610,"VENON",NA,"AC",43,1,"Maison",130,5,"S",NA,608
"75","07/01/2020","Vente",5e+06,1,NA,"RUE","0260","DU DOCTEUR VALOIS",38400,"SAINT-MARTIN-D'HERES",NA,"BN",497,2,"Appartement",27,1,NA,NA,NA
"76","10/01/2020","Vente",45571500,745,NA,"RUE","0385","ABEL SERVIEN RD 1090",38330,"BIVIERS",NA,"AH",164,1,"Maison",130,5,"J","POTAG",829
"77","10/01/2020","Vente",45571500,745,NA,"RUE","0385","ABEL SERVIEN RD 1090",38330,"BIVIERS",NA,"AH",164,1,"Maison",130,5,"S",NA,1201
"78","13/01/2020","Vente",36025000,3,NA,"CHE","0045","DE LA CARRIERE",38610,"GIERES",NA,"AL",247,1,"Maison",98,5,NA,NA,NA
"79","07/01/2020","Vente",10600000,47,NA,"BD","4010","JOSEPH VALLIER",38100,"GRENOBLE",NA,"HT",27,2,"Appartement",60,4,NA,NA,NA
"80","13/01/2020","Vente",19600000,6,NA,"RUE","0705","MARTIN LUTHER KING",38400,"SAINT-MARTIN-D'HERES",NA,"BH",297,2,"Appartement",66,3,NA,NA,NA
"81","10/01/2020","Vente",9400000,15,NA,"AV","0890","POTIE",38400,"SAINT-MARTIN-D'HERES",NA,"BH",160,2,"Appartement",55,3,NA,NA,NA
"82","07/01/2020","Vente",4800000,57,NA,"CRS","0290","JEAN JAURES",38130,"ECHIROLLES",NA,"AM",115,2,"Appartement",46,2,NA,NA,NA
"83","09/01/2020","Vente",8e+06,2,NA,"AV","0850","BEAUVERT",38100,"GRENOBLE",NA,"HN",106,2,"Appartement",39,2,NA,NA,NA
"84","13/01/2020","Vente",14430600,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",28,0,NA,NA,NA
"85","13/01/2020","Vente",14430600,25,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",223,4,"Local industriel. commercial ou assimil<e9>",15,0,NA,NA,NA
"86","23/01/2020","Vente",1.7e+07,7,NA,"PL","3400","FRIDA KAHLO",38400,"SAINT-MARTIN-D'HERES",NA,"BH",357,2,"Appartement",68,3,NA,NA,NA
"87","09/01/2020","Vente",10500000,84,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"EM",166,2,"Appartement",66,3,NA,NA,NA
"88","20/01/2020","Vente",44875000,56,NA,"RUE","0180","DOYEN GOSSE",38700,"LA TRONCHE",NA,"AK",317,2,"Appartement",120,5,NA,NA,NA
"89","17/01/2020","Vente",20255000,19,NA,"RUE","6690","TURENNE",38000,"GRENOBLE",NA,"CO",57,2,"Appartement",57,2,NA,NA,NA
"90","20/01/2020","Vente",24815000,37,NA,"RUE","5160","MORTILLET",38000,"GRENOBLE",NA,"AX",206,2,"Appartement",75,4,NA,NA,NA
"91","07/01/2020","Vente",1.3e+07,46,NA,"RUE","4665","DES MAQUIS D OISANS",38100,"GRENOBLE",NA,"EY",38,2,"Appartement",63,3,NA,NA,NA
"92","08/01/2020","Vente",21500000,7,NA,"RUE","2040","DENFERT ROCHEREAU",38000,"GRENOBLE",NA,"BK",85,2,"Appartement",79,3,NA,NA,NA
"93","08/01/2020","Vente",10500000,18,NA,"CRS","4380","LIBERATION - GEN DE GAULLE",38100,"GRENOBLE",NA,"HV",18,2,"Appartement",61,4,NA,NA,NA
"94","07/01/2020","Vente",60250000,4,NA,"CHE","0410","DE L HERMITAGE",38240,"MEYLAN",NA,"AH",197,2,"Appartement",141,4,NA,NA,NA
"95","22/01/2020","Vente",22150000,18,NA,"RUE","2730","FELIX ESCLANGON",38000,"GRENOBLE",NA,"IM",326,2,"Appartement",90,5,NA,NA,NA
"96","24/01/2020","Vente",13300000,21,NA,"CHE","6880","VILLEBOIS",38100,"GRENOBLE",NA,"CZ",136,2,"Appartement",68,4,NA,NA,NA
"97","07/01/2020","Vente",19200000,220,NA,"ALL","0347","DE PRE MAYEN",38330,"MONTBONNOT-SAINT-MARTIN",NA,"AO",339,2,"Appartement",42,2,NA,NA,NA
"98","16/01/2020","Vente",9737800,93,NA,"AV","4075","JULES VALLES",38400,"SAINT-MARTIN-D'HERES",NA,"BL",296,2,"Appartement",65,3,NA,NA,NA
"99","16/01/2020","Vente",9500000,18,NA,"RUE","4701","LOUISE LABE",38400,"SAINT-MARTIN-D'HERES",NA,"BO",337,2,"Appartement",38,2,NA,NA,NA
"100","14/01/2020","Vente",18800000,10,NA,"RUE","1490","CHARLES RIVAIL",38100,"GRENOBLE",NA,"DV",411,2,"Appartement",60,3,NA,NA,NA
"101","20/01/2020","Vente",15803500,18,NA,"RUE","4150","LACHMANN",38000,"GRENOBLE",NA,"AX",425,2,"Appartement",50,2,NA,NA,NA
"102","16/01/2020","Vente",1.6e+07,34,NA,"RUE","2159","DOCTEUR GREFFIER",38000,"GRENOBLE",NA,"IW",22,2,"Appartement",82,4,NA,NA,NA
"103","16/01/2020","Vente",15390000,12,NA,"PL","0025","ALFRED DE VIGNY",38400,"SAINT-MARTIN-D'HERES",NA,"BO",203,2,"Appartement",83,5,NA,NA,NA
"104","17/01/2020","Vente",31500000,22,NA,"RUE","0490","PAUL HEROULT",38130,"ECHIROLLES",NA,"AL",575,1,"Maison",102,5,"S",NA,1075
"105","09/01/2020","Vente",1.5e+08,13,NA,"AV","0383","DU GRANIER",38240,"MEYLAN",NA,"AZ",34,4,"Local industriel. commercial ou assimil<e9>",1015,0,"S",NA,6263
"106","09/01/2020","Vente",12100000,66,NA,"BD","4800","MAL FOCH",38000,"GRENOBLE",NA,"DK",3,2,"Appartement",50,3,NA,NA,NA
"107","24/01/2020","Vente",13200000,37,NA,"RUE","1635","CLAUDE KOGAN",38100,"GRENOBLE",NA,"EX",18,2,"Appartement",114,5,NA,NA,NA
"108","13/01/2020","Vente",16640000,55,NA,"BD","4800","MAL FOCH",38100,"GRENOBLE",NA,"DL",9,2,"Appartement",95,4,NA,NA,NA
"109","21/01/2020","Vente",11900000,3,NA,"RUE","0988","TRISTAN BERNARD",38400,"SAINT-MARTIN-D'HERES",NA,"AE",20,2,"Appartement",67,4,NA,NA,NA
"110","14/01/2020","Vente",33975000,3,NA,"RUE","2650","EUGENE DELACROIX",38000,"GRENOBLE",NA,"AX",322,2,"Appartement",108,3,NA,NA,NA
"111","07/01/2020","Vente",13420000,13,NA,"RUE","1310","CASIMIR BRENIER",38000,"GRENOBLE",NA,"BK",88,2,"Appartement",34,2,NA,NA,NA
"112","16/01/2020","Vente",5.9e+07,111,"B","CRS","0290","JEAN JAURES",38130,"ECHIROLLES",NA,"AM",9,4,"Local industriel. commercial ou assimil<e9>",587,0,"S",NA,991
"113","11/01/2020","Vente",5700000,11,NA,"RUE","3120","GENERAL MANGIN",38100,"GRENOBLE",NA,"EN",169,2,"Appartement",17,1,NA,NA,NA
"114","07/01/2020","Vente",8800000,38,NA,"RUE","2150","DU DOCTEUR CALMETTE",38000,"GRENOBLE",NA,"IV",148,2,"Appartement",44,1,NA,NA,NA
"115","14/01/2020","Vente",9700000,22,NA,"RUE","6160","SAINT FERJUS",38000,"GRENOBLE",NA,"AY",105,2,"Appartement",35,2,NA,NA,NA
"116","24/01/2020","Vente",19510000,1,NA,"RUE","0575","LEON GEIST",38400,"SAINT-MARTIN-D'HERES",NA,"BN",553,2,"Appartement",68,3,NA,NA,NA
"117","08/01/2020","Vente",27500000,35,NA,"RUE","0230","CHAMP ROCHAS",38240,"MEYLAN",NA,"AN",27,2,"Appartement",97,4,NA,NA,NA
"118","23/01/2020","Vente",53760000,108,NA,"CHE","0215","DE LA MAIRIE",38330,"SAINT-NAZAIRE-LES-EYMES",NA,"AK",53,1,"Maison",103,5,"S",NA,1535
"119","13/01/2020","Vente",8500000,14,NA,"ALL","0740","DES VOSGES",38130,"ECHIROLLES",NA,"AE",2,2,"Appartement",101,5,NA,NA,NA
"120","15/01/2020","Vente",13200000,37,NA,"CHE","4960","MENEY",38100,"GRENOBLE",NA,"EO",45,2,"Appartement",68,4,NA,NA,NA
"121","24/01/2020","Vente",6500000,83,NA,"AV","0727","DE LA MOGNE",38400,"SAINT-MARTIN-D'HERES",NA,"BO",203,2,"Appartement",55,3,NA,NA,NA
"122","21/01/2020","Vente",43441000,1,NA,"PL","6290","SAINTE CLAIRE",38000,"GRENOBLE",NA,"BV",68,2,"Appartement",117,4,NA,NA,NA
"123","23/01/2020","Vente",49875000,48,NA,"CHEM","0097","DE VIEILLE VIGNE",38610,"VENON",NA,"AB",101,1,"Maison",160,4,"S",NA,1000
"124","23/01/2020","Vente",49875000,48,NA,"CHEM","0097","DE VIEILLE VIGNE",38610,"VENON",NA,"AB",101,1,"Maison",160,4,"AG",NA,970
"125","27/01/2020","Vente",5700000,27,"B","RUE","1370","CHAMPS ELYSEES",38100,"GRENOBLE",NA,"HT",147,2,"Appartement",21,1,NA,NA,NA
"126","27/01/2020","Vente",10600000,1,NA,"RUE","1410","CHARLES BAUDELAIRE",38100,"GRENOBLE",NA,"EO",31,2,"Appartement",50,2,NA,NA,NA
"127","24/01/2020","Vente",6580000,11,NA,"RUE","3120","GENERAL MANGIN",38100,"GRENOBLE",NA,"EN",169,2,"Appartement",17,1,NA,NA,NA
"128","20/01/2020","Vente",1e+06,4,NA,"RUE","0530","DU VERCORS",38700,"LA TRONCHE",NA,"AK",106,4,"Local industriel. commercial ou assimil<e9>",12,0,NA,NA,NA
"129","15/01/2020","Vente",16970000,26,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"DN",21,2,"Appartement",61,3,NA,NA,NA
"130","15/01/2020","Vente",20500000,13,NA,"RUE","0380","PASTEUR",38610,"GIERES",NA,"AN",705,2,"Appartement",64,3,NA,NA,NA
"131","28/01/2020","Vente",7e+06,1,NA,"RUE","1410","CHARLES BAUDELAIRE",38100,"GRENOBLE",NA,"EO",31,2,"Appartement",37,1,NA,NA,NA
"132","09/01/2020","Vente",21445848,2,NA,"CHE","0633","DES PRES",38240,"MEYLAN",NA,"AZ",291,4,"Local industriel. commercial ou assimil<e9>",67,0,NA,NA,NA
"133","09/01/2020","Vente",21445848,2,NA,"CHE","0633","DES PRES",38240,"MEYLAN",NA,"AZ",291,4,"Local industriel. commercial ou assimil<e9>",10,0,NA,NA,NA
"134","22/01/2020","Vente",10160000,25,NA,"RUE","3960","JOSEPH BOUCHAYER",38100,"GRENOBLE",NA,"HV",74,2,"Appartement",53,3,NA,NA,NA
"135","17/01/2020","Vente",8800000,3,NA,"RUE","4680","MARBEUF",38100,"GRENOBLE",NA,"HT",72,2,"Appartement",19,1,NA,NA,NA
"136","17/01/2020","Vente",8800000,3,NA,"RUE","4680","MARBEUF",38100,"GRENOBLE",NA,"HT",72,2,"Appartement",30,2,NA,NA,NA
"137","20/01/2020","Vente",8e+06,33,NA,"CHE","4960","MENEY",38100,"GRENOBLE",NA,"EO",48,2,"Appartement",45,3,NA,NA,NA
"138","20/01/2020","Vente",5.3e+07,12,NA,"AV","0380","ALSACE LORRAINE",38000,"GRENOBLE",NA,"BN",16,2,"Appartement",169,6,NA,NA,NA
"139","24/01/2020","Vente",21455000,113,NA,"RUE","0220","D ALEMBERT",38000,"GRENOBLE",NA,"IV",73,2,"Appartement",91,4,NA,NA,NA
"140","10/01/2020","Vente",24330000,2331,NA,"RTE","0295","DE MEYLAN",38330,"BIVIERS",NA,"AE",51,2,"Appartement",64,2,NA,NA,NA
"141","08/01/2020","Vente",43250000,528,NA,"CHE","0119","DU FANGEAT",38330,"SAINT-ISMIER",NA,"BB",58,1,"Maison",146,4,NA,NA,NA
"142","08/01/2020","Vente",27500000,5,NA,"ALL","0367","DES FRENES",38240,"MEYLAN",NA,"AV",157,2,"Appartement",74,3,NA,NA,NA
"143","16/01/2020","Vente",32300000,51,NA,"RUE","6600","THIERS",38000,"GRENOBLE",NA,"CN",60,2,"Appartement",93,4,NA,NA,NA
"144","20/01/2020","Vente",1.4e+08,15,NA,"CHE","0523","DE MALACHER",38240,"MEYLAN",NA,"BA",85,4,"Local industriel. commercial ou assimil<e9>",1567,0,"S",NA,3569
"145","14/01/2020","Vente",20750000,5,NA,"RUE","3620","HONORE DE BALZAC",38100,"GRENOBLE",NA,"EM",167,2,"Appartement",69,3,NA,NA,NA
"146","06/01/2020","Vente",7200000,14,NA,"RUE","0050","ABBE GREGOIRE",38000,"GRENOBLE",NA,"IL",61,2,"Appartement",30,1,NA,NA,NA
"147","16/01/2020","Vente",16200000,18,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"DN",18,2,"Appartement",85,4,NA,NA,NA
"148","10/01/2020","Vente",16049000,20,NA,"RUE","6430","DE STALINGRAD",38100,"GRENOBLE",NA,"DN",19,2,"Appartement",63,3,NA,NA,NA
"149","23/01/2020","Vente",44555000,6,NA,"RUE","0475","JEAN MERMOZ",38400,"SAINT-MARTIN-D'HERES",NA,"AV",160,1,"Maison",142,5,"S",NA,579
"150","15/01/2020","Vente",9600000,10,NA,"CHE","4879","DES MARRONNIERS",38100,"GRENOBLE",NA,"HV",32,2,"Appartement",42,2,NA,NA,NA
"151","08/01/2020","Vente",22400000,51,NA,"AV","4526","DOYEN LOUIS WEIL",38000,"GRENOBLE",NA,"AI",186,2,"Appartement",66,3,NA,NA,NA
"152","07/01/2020","Vente",5800000,3,NA,"QUAI","3280","DE LA GRAILLE",38000,"GRENOBLE",NA,"AK",113,2,"Appartement",16,1,NA,NA,NA
"153","17/01/2020","Vente",9350000,4,NA,"RUE","0400","AMEDEE MOREL",38000,"GRENOBLE",NA,"IM",99,2,"Appartement",23,1,NA,NA,NA
"154","09/01/2020","Vente",20500000,11,"B","CRS","0950","BERRIAT",38000,"GRENOBLE",NA,"CI",4,4,"Local industriel. commercial ou assimil<e9>",70,0,NA,NA,NA
"155","21/01/2020","Vente",11800000,22,NA,"PL","0450","JEAN BAPTISTE CLEMENT",38400,"SAINT-MARTIN-D'HERES",NA,"BO",3,2,"Appartement",67,4,NA,NA,NA
"156","23/01/2020","Vente",5304000,21,NA,"RUE","1740","COL DUMONT",38000,"GRENOBLE",NA,"DI",72,2,"Appartement",15,1,NA,NA,NA
"157","21/01/2020","Vente",15200000,102,"C","CRS","0290","JEAN JAURES",38130,"ECHIROLLES",NA,"AY",199,2,"Appartement",70,3,NA,NA,NA
"158","07/01/2020","Vente",28305000,25,NA,"ALL","0065","DE LA DENT DE CROLLES",38330,"MONTBONNOT-SAINT-MARTIN",NA,"AI",141,2,"Appartement",75,3,NA,NA,NA
"159","15/01/2020","Vente",44548000,91,NA,"CHE","0260","DU PRE DE L ACHARD",38330,"SAINT-NAZAIRE-LES-EYMES",NA,"AB",120,1,"Maison",128,6,"S",NA,752
"160","15/01/2020","Vente",17800000,105,NA,"CRS","3820","JEAN JAURES",38000,"GRENOBLE",NA,"DK",59,2,"Appartement",90,3,NA,NA,NA
